Country,Income Group,Gov Spending (% GDP),Avg GDP Growth (%),Period,Years of Data
"Australia",Developed,26.6,2.7,"2005-2023 (Structural)",18
"Austria",Developed,46.4,1.4,"2005-2023 (Structural)",19
"Bahamas, The",Developed,17.1,1.2,"2005-2023 (Structural)",19
"Barbados",Developed,28.9,0.3,"2005-2023 (Structural)",12
"Belgium",Developed,42.3,1.6,"2005-2023 (Structural)",18
"Bulgaria",Developed,33.5,2.8,"2005-2023 (Structural)",19
"Canada",Developed,18.5,1.9,"2005-2023 (Structural)",19
"Chile",Developed,21.4,3.2,"2005-2023 (Structural)",19
"Costa Rica",Developed,26.4,3.9,"2005-2023 (Structural)",19
"Croatia",Developed,39.7,1.9,"2005-2023 (Structural)",19
"Cyprus",Developed,41,2.9,"2005-2023 (Structural)",19
"Czechia",Developed,33.9,2.3,"2005-2023 (Structural)",18
"Denmark",Developed,37.3,1.3,"2005-2023 (Structural)",19
"Estonia",Developed,35.2,2.4,"2005-2023 (Structural)",19
"Finland",Developed,38.3,0.9,"2005-2023 (Structural)",19
"France",Developed,47.9,1.2,"2005-2023 (Structural)",19
"Germany",Developed,28.9,1.2,"2005-2023 (Structural)",18
"Greece",Developed,50.6,-0.3,"2005-2023 (Structural)",19
"Hungary",Developed,43.2,2,"2005-2023 (Structural)",18
"Iceland",Developed,34.9,2.8,"2005-2023 (Structural)",19
"Ireland",Developed,32.3,5.2,"2005-2023 (Structural)",18
"Israel",Developed,36.7,4,"2005-2023 (Structural)",19
"Italy",Developed,43.6,0.3,"2005-2023 (Structural)",19
"Japan",Developed,17.5,0.6,"2005-2023 (Structural)",18
"Korea, Rep.",Developed,22.4,3.3,"2005-2023 (Structural)",19
"Latvia",Developed,32.7,2.4,"2005-2023 (Structural)",19
"Lithuania",Developed,34.2,3.3,"2005-2023 (Structural)",19
"Luxembourg",Developed,38.2,2.3,"2005-2023 (Structural)",19
"Macao SAR, China",Developed,18.1,6.4,"2005-2023 (Structural)",19
"Malta",Developed,37.6,5.2,"2005-2023 (Structural)",19
"Nauru",Developed,90.4,4.3,"2005-2023 (Structural)",7
"Netherlands",Developed,40.2,1.6,"2005-2023 (Structural)",19
"New Zealand",Developed,32.9,2.4,"2005-2023 (Structural)",18
"Palau",Developed,47.3,-0.6,"2005-2023 (Structural)",13
"Panama",Developed,14.9,6.4,"2005-2023 (Structural)",8
"Poland",Developed,35.9,3.8,"2005-2023 (Structural)",19
"Portugal",Developed,42,0.9,"2005-2023 (Structural)",19
"Romania",Developed,33.5,3.3,"2005-2023 (Structural)",18
"Russian Federation",Developed,27.4,2.5,"2005-2023 (Structural)",19
"San Marino",Developed,40.6,0.2,"2005-2023 (Structural)",19
"Seychelles",Developed,28.9,4.6,"2005-2023 (Structural)",4
"Singapore",Developed,14.6,4.7,"2005-2023 (Structural)",19
"Slovak Republic",Developed,39,3.3,"2005-2023 (Structural)",18
"Slovenia",Developed,45.1,2.2,"2005-2023 (Structural)",19
"Spain",Developed,32.7,1.2,"2005-2023 (Structural)",19
"St. Kitts and Nevis",Developed,24.2,2.3,"2005-2023 (Structural)",14
"Sweden",Developed,32.7,1.8,"2005-2023 (Structural)",18
"Switzerland",Developed,17.1,2,"2005-2023 (Structural)",19
"United Kingdom",Developed,40.3,1.4,"2005-2023 (Structural)",19
"United States",Developed,24.1,2.1,"2005-2023 (Structural)",19
"Uruguay",Developed,30.3,3.3,"2005-2023 (Structural)",19
"Albania",Developing,24.1,3.5,"2005-2023 (Structural)",13
"Argentina",Developing,23.6,2.2,"2005-2023 (Structural)",10
"Armenia",Developing,22.2,5.1,"2005-2023 (Structural)",19
"Bangladesh",Developing,8.8,6.4,"2005-2023 (Structural)",17
"Belarus",Developing,29.5,3.1,"2005-2023 (Structural)",19
"Belize",Developing,19.6,2.2,"2005-2023 (Structural)",13
"Bhutan",Developing,19.2,5.5,"2005-2023 (Structural)",16
"Bosnia and Herzegovina",Developing,36.3,2.6,"2005-2023 (Structural)",19
"Brazil",Developing,31,2.1,"2005-2023 (Structural)",14
"Burkina Faso",Developing,14.6,5.3,"2005-2023 (Structural)",19
"Burundi",Developing,17.3,3.5,"2005-2023 (Structural)",11
"Cabo Verde",Developing,20.9,3.7,"2005-2023 (Structural)",16
"Cambodia",Developing,9.7,6.9,"2005-2023 (Structural)",19
"Cameroon",Developing,12.2,3.6,"2005-2023 (Structural)",10
"Central African Republic",Developing,11.2,1.2,"2005-2023 (Structural)",13
"Colombia",Developing,29.3,3.8,"2005-2023 (Structural)",16
"Congo, Dem. Rep.",Developing,10.9,5.9,"2005-2023 (Structural)",17
"Cote d'Ivoire",Developing,12.7,5.1,"2005-2023 (Structural)",19
"Dominican Republic",Developing,16,5.3,"2005-2023 (Structural)",19
"Egypt, Arab Rep.",Developing,30.2,4.5,"2005-2023 (Structural)",11
"El Salvador",Developing,24.7,2.3,"2005-2023 (Structural)",19
"Eswatini",Developing,25,2.9,"2005-2023 (Structural)",16
"Ethiopia",Developing,10,9.2,"2005-2023 (Structural)",19
"Fiji",Developing,26.2,2.1,"2005-2023 (Structural)",19
"Georgia",Developing,26,5.6,"2005-2023 (Structural)",19
"Ghana",Developing,19.6,5.8,"2005-2023 (Structural)",18
"Guatemala",Developing,13.1,3.6,"2005-2023 (Structural)",19
"Guinea-Bissau",Developing,14,4.2,"2005-2023 (Structural)",7
"Honduras",Developing,22.6,3.6,"2005-2023 (Structural)",12
"India",Developing,15.6,6.4,"2005-2023 (Structural)",15
"Jamaica",Developing,27.4,0.9,"2005-2023 (Structural)",16
"Jordan",Developing,28.6,3.6,"2005-2023 (Structural)",19
"Kenya",Developing,22.7,4.8,"2005-2023 (Structural)",10
"Kyrgyz Republic",Developing,25.2,4.2,"2005-2023 (Structural)",10
"Lao PDR",Developing,12.4,6.4,"2005-2023 (Structural)",15
"Lebanon",Developing,25.6,0.8,"2005-2023 (Structural)",17
"Lesotho",Developing,40.7,1.8,"2005-2023 (Structural)",18
"Madagascar",Developing,9.7,2.8,"2005-2023 (Structural)",19
"Malawi",Developing,14.4,4.5,"2005-2023 (Structural)",14
"Malaysia",Developing,18.4,4.4,"2005-2023 (Structural)",19
"Maldives",Developing,26.5,5.8,"2005-2023 (Structural)",15
"Mali",Developing,10.7,3.8,"2005-2023 (Structural)",16
"Mauritius",Developing,22.2,3.2,"2005-2023 (Structural)",19
"Mexico",Developing,20.8,1.7,"2005-2023 (Structural)",15
"Moldova",Developing,30.2,3.3,"2005-2023 (Structural)",19
"Morocco",Developing,24.9,3.4,"2005-2023 (Structural)",19
"Mozambique",Developing,21.1,5.5,"2005-2023 (Structural)",10
"Myanmar",Developing,12.6,6,"2005-2023 (Structural)",9
"Namibia",Developing,32.8,2.9,"2005-2023 (Structural)",19
"Nepal",Developing,16.4,4.3,"2005-2023 (Structural)",12
"Nicaragua",Developing,15.7,3.4,"2005-2023 (Structural)",19
"North Macedonia",Developing,30,2.8,"2005-2023 (Structural)",19
"Paraguay",Developing,14.8,3.7,"2005-2023 (Structural)",19
"Peru",Developing,19.6,4.3,"2005-2023 (Structural)",17
"Philippines",Developing,14.9,5,"2005-2023 (Structural)",19
"Rwanda",Developing,18.9,7.3,"2005-2023 (Structural)",10
"Samoa",Developing,28.8,2.4,"2005-2023 (Structural)",12
"Senegal",Developing,20.5,4.2,"2005-2023 (Structural)",9
"Serbia",Developing,36.7,2.6,"2005-2023 (Structural)",16
"Solomon Islands",Developing,29.1,3.2,"2005-2023 (Structural)",12
"South Africa",Developing,31.2,1.9,"2005-2023 (Structural)",18
"Sri Lanka",Developing,17.2,3.9,"2005-2023 (Structural)",19
"St. Lucia",Developing,17.2,1.7,"2005-2023 (Structural)",13
"St. Vincent and the Grenadines",Developing,23.3,1.6,"2005-2023 (Structural)",13
"Sudan",Developing,12.1,-1.3,"2005-2023 (Structural)",7
"Tajikistan",Developing,11.4,7,"2005-2023 (Structural)",3
"Tanzania",Developing,15,5.8,"2005-2023 (Structural)",15
"Thailand",Developing,19.2,2.7,"2005-2023 (Structural)",19
